Timestamp,Model,Request tokens,Response tokens,Total tokens,Log Type
5275727.0,ChatGPT,128,18,146,Conversation log
5275977.0,ChatGPT,1663,13,1676,Conversation log
5276012.0,ChatGPT,1706,38,1744,Conversation log
5276039.0,ChatGPT,1778,32,1810,Conversation log
5276052.0,ChatGPT,1786,65,1851,Conversation log
5276063.0,ChatGPT,1815,30,1845,Conversation log
5276082.0,ChatGPT,335,39,374,Conversation log
5276094.0,ChatGPT,325,115,440,Conversation log
5276109.0,ChatGPT,414,97,511,Conversation log
5276120.0,ChatGPT,412,121,533,Conversation log
5276133.0,ChatGPT,506,239,745,Conversation log
5276366.0,ChatGPT,597,156,753,Conversation log
5277159.0,ChatGPT,1903,35,1938,Conversation log
5277181.0,ChatGPT,1692,36,1728,Conversation log
5277382.0,ChatGPT,1409,24,1433,Conversation log
5277570.0,ChatGPT,707,53,760,Conversation log
5277752.0,ChatGPT,561,47,608,Conversation log
5277809.0,ChatGPT,325,121,446,Conversation log
5277872.0,ChatGPT,1603,204,1807,Conversation log
5277982.0,ChatGPT,1441,442,1883,Conversation log
5278083.0,GPT-4,2337,150,2487,Conversation log
5278090.0,GPT-4,59,536,595,Conversation log
5278426.0,ChatGPT,3258,612,3870,Conversation log
5278434.0,ChatGPT,209,614,823,Conversation log
5278469.0,ChatGPT,1114,431,1545,Conversation log
5278585.0,ChatGPT,1216,551,1767,Conversation log
5278697.0,ChatGPT,2360,602,2962,Conversation log
5278930.0,ChatGPT,1279,228,1507,Conversation log
5278967.0,ChatGPT,1128,518,1646,Conversation log
5279000.0,ChatGPT,5181,688,5869,Conversation log
5279026.0,ChatGPT,1515,215,1730,Conversation log
5279139.0,ChatGPT,2981,160,3141,Conversation log
5279588.0,ChatGPT,7069,436,7505,Conversation log
5279912.0,ChatGPT,8314,503,8817,Conversation log
5280300.0,ChatGPT,9108,647,9755,Conversation log
5280587.0,ChatGPT,8868,395,9263,Conversation log
5280833.0,ChatGPT,7957,269,8226,Conversation log
5281074.0,ChatGPT,6614,295,6909,Conversation log
5281222.0,ChatGPT,5383,190,5573,Conversation log
5281580.0,GPT-4,2332,330,2662,Conversation log
5281662.0,GPT-4,4582,827,5409,Conversation log
5281795.0,ChatGPT,3215,266,3481,Conversation log
5281965.0,GPT-4,4897,681,5578,Conversation log
5282123.0,GPT-4,2540,56,2596,Conversation log
5282281.0,ChatGPT,2127,335,2462,Conversation log
5282354.0,ChatGPT,1526,345,1871,Conversation log
5282852.0,ChatGPT,1593,240,1833,Conversation log
5284632.0,GPT-4,230,616,846,Conversation log
5285713.0,GPT-4,109,103,212,Conversation log
5285985.0,GPT-4,387,603,990,Conversation log
5286130.0,GPT-4,1009,506,1515,Conversation log
5286417.0,GPT-4,1547,274,1821,Conversation log
5286548.0,GPT-4,1710,464,2174,Conversation log
5286664.0,ChatGPT,205,7,212,API log
5286665.0,ChatGPT,192,7,199,API log
5286666.0,ChatGPT,199,7,206,API log
5286667.0,ChatGPT,201,7,208,API log
5286667.0,ChatGPT,193,7,200,API log
5286668.0,ChatGPT,201,7,208,API log
5286669.0,ChatGPT,204,7,211,API log
5286669.0,ChatGPT,205,7,212,API log
5286670.0,ChatGPT,188,7,195,API log
5286670.0,ChatGPT,198,7,205,API log
5286671.0,ChatGPT,205,7,212,API log
5286671.0,ChatGPT,191,7,198,API log
5286671.0,ChatGPT,194,7,201,API log
5286672.0,ChatGPT,194,7,201,API log
5286672.0,ChatGPT,195,7,202,API log
5286673.0,ChatGPT,200,7,207,API log
5286674.0,ChatGPT,201,7,208,API log
5286674.0,ChatGPT,213,7,220,API log
5286674.0,ChatGPT,212,7,219,API log
5286675.0,ChatGPT,191,7,198,API log
5286675.0,ChatGPT,203,7,210,API log
5286676.0,ChatGPT,207,7,214,API log
5286676.0,ChatGPT,199,7,206,API log
5286677.0,ChatGPT,200,7,207,API log
5286677.0,ChatGPT,214,7,221,API log
5286677.0,ChatGPT,201,7,208,API log
5286678.0,ChatGPT,198,7,205,API log
5286678.0,ChatGPT,199,7,206,API log
5286679.0,ChatGPT,212,7,219,API log
5286679.0,ChatGPT,190,7,197,API log
5286680.0,ChatGPT,193,7,200,API log
5286680.0,ChatGPT,209,7,216,API log
5286681.0,ChatGPT,202,7,209,API log
5286681.0,ChatGPT,193,7,200,API log
5286682.0,ChatGPT,189,7,196,API log
5286682.0,ChatGPT,200,7,207,API log
5286682.0,ChatGPT,206,7,213,API log
5286683.0,ChatGPT,194,7,201,API log
5286683.0,ChatGPT,205,7,212,API log
5286684.0,ChatGPT,204,7,211,API log
5286684.0,ChatGPT,197,7,204,API log
5286684.0,ChatGPT,198,7,205,API log
5286685.0,ChatGPT,198,7,205,API log
5286685.0,ChatGPT,204,7,211,API log
5286685.0,ChatGPT,196,7,203,API log
5286686.0,ChatGPT,205,7,212,API log
5286686.0,ChatGPT,203,7,210,API log
5286687.0,ChatGPT,192,7,199,API log
5286687.0,ChatGPT,199,7,206,API log
5286687.0,ChatGPT,194,7,201,API log
5286688.0,ChatGPT,208,7,215,API log
5286688.0,ChatGPT,191,7,198,API log
5286689.0,ChatGPT,206,7,213,API log
5286689.0,ChatGPT,204,7,211,API log
5286690.0,ChatGPT,205,7,212,API log
5286690.0,ChatGPT,203,7,210,API log
5286690.0,ChatGPT,194,7,201,API log
5286691.0,ChatGPT,190,7,197,API log
5286691.0,ChatGPT,192,7,199,API log
5286692.0,ChatGPT,192,7,199,API log
5286692.0,ChatGPT,207,7,214,API log
5286692.0,ChatGPT,198,7,205,API log
5286693.0,ChatGPT,203,7,210,API log
5286693.0,ChatGPT,190,7,197,API log
5286694.0,ChatGPT,201,7,208,API log
5286695.0,ChatGPT,205,7,212,API log
5286696.0,ChatGPT,207,7,214,API log
5286697.0,ChatGPT,196,7,203,API log
5286699.0,ChatGPT,201,7,208,API log
5286700.0,ChatGPT,198,7,205,API log
5286703.0,ChatGPT,220,7,227,API log
5286704.0,ChatGPT,195,7,202,API log
5286705.0,ChatGPT,202,7,209,API log
5286705.0,ChatGPT,201,7,208,API log
5286706.0,ChatGPT,204,7,211,API log
5286707.0,ChatGPT,196,7,203,API log
5286708.0,ChatGPT,206,7,213,API log
5286709.0,ChatGPT,202,7,209,API log
5286709.0,ChatGPT,203,7,210,API log
5286710.0,ChatGPT,189,7,196,API log
5286710.0,ChatGPT,205,7,212,API log
5286711.0,ChatGPT,195,7,202,API log
5286711.0,ChatGPT,198,7,205,API log
5286711.0,ChatGPT,212,7,219,API log
5286712.0,ChatGPT,193,7,200,API log
5286712.0,ChatGPT,206,7,213,API log
5286713.0,ChatGPT,203,7,210,API log
5286713.0,ChatGPT,195,7,202,API log
5286714.0,ChatGPT,200,7,207,API log
5286714.0,ChatGPT,198,7,205,API log
5286715.0,ChatGPT,198,7,205,API log
5286715.0,ChatGPT,191,7,198,API log
5286716.0,ChatGPT,190,7,197,API log
5286716.0,ChatGPT,192,7,199,API log
5286717.0,ChatGPT,200,7,207,API log
5286717.0,ChatGPT,197,7,204,API log
5286718.0,ChatGPT,215,7,222,API log
5286718.0,ChatGPT,200,7,207,API log
5286718.0,ChatGPT,203,7,210,API log
5286719.0,ChatGPT,201,7,208,API log
5286719.0,ChatGPT,200,7,207,API log
5286719.0,ChatGPT,208,7,215,API log
5286720.0,ChatGPT,210,7,217,API log
5286720.0,ChatGPT,209,7,216,API log
5286721.0,ChatGPT,195,7,202,API log
5286721.0,ChatGPT,215,7,222,API log
5286721.0,ChatGPT,202,7,209,API log
5286722.0,ChatGPT,202,7,209,API log
5286722.0,ChatGPT,193,7,200,API log
5286722.0,ChatGPT,213,7,220,API log
5286723.0,ChatGPT,206,7,213,API log
5286723.0,ChatGPT,201,7,208,API log
5286724.0,ChatGPT,197,7,204,API log
5286725.0,ChatGPT,191,7,198,API log
5286725.0,ChatGPT,204,7,211,API log
5286725.0,ChatGPT,195,7,202,API log
5286726.0,ChatGPT,192,7,199,API log
5286728.0,ChatGPT,194,7,201,API log
5286728.0,ChatGPT,194,7,201,API log
5286729.0,ChatGPT,198,7,205,API log
5286729.0,ChatGPT,195,7,202,API log
5286730.0,ChatGPT,199,7,206,API log
5286730.0,ChatGPT,201,7,208,API log
5286731.0,ChatGPT,209,7,216,API log
5286731.0,ChatGPT,191,7,198,API log
5286731.0,ChatGPT,194,7,201,API log
5286732.0,ChatGPT,199,7,206,API log
5286732.0,ChatGPT,205,7,212,API log
5286733.0,ChatGPT,214,7,221,API log
5286733.0,ChatGPT,202,7,209,API log
5286733.0,ChatGPT,202,7,209,API log
5286734.0,ChatGPT,197,7,204,API log
5286734.0,ChatGPT,197,7,204,API log
5286735.0,ChatGPT,202,7,209,API log
5286735.0,ChatGPT,193,7,200,API log
5286736.0,ChatGPT,193,7,200,API log
5286736.0,ChatGPT,206,7,213,API log
5286737.0,ChatGPT,193,7,200,API log
5286737.0,ChatGPT,197,7,204,API log
5286738.0,ChatGPT,206,7,213,API log
5286738.0,ChatGPT,205,7,212,API log
5286739.0,ChatGPT,203,7,210,API log
5286739.0,ChatGPT,186,7,193,API log
5286740.0,ChatGPT,195,7,202,API log
5286740.0,ChatGPT,203,7,210,API log
5286741.0,ChatGPT,213,7,220,API log
5286741.0,ChatGPT,216,7,223,API log
5286741.0,ChatGPT,209,7,216,API log
5286742.0,ChatGPT,202,7,209,API log
5286742.0,ChatGPT,195,7,202,API log
5286743.0,ChatGPT,199,7,206,API log
5286743.0,ChatGPT,200,7,207,API log
5286744.0,ChatGPT,200,7,207,API log
5286744.0,ChatGPT,204,7,211,API log
5286745.0,ChatGPT,202,7,209,API log
5286745.0,ChatGPT,204,7,211,API log
5286746.0,ChatGPT,205,7,212,API log
5286746.0,ChatGPT,197,7,204,API log
5286747.0,ChatGPT,215,7,222,API log
5286747.0,ChatGPT,210,7,217,API log
5286748.0,ChatGPT,199,7,206,API log
5286748.0,ChatGPT,197,7,204,API log
5286749.0,ChatGPT,208,7,215,API log
5286750.0,ChatGPT,197,7,204,API log
5286750.0,ChatGPT,196,7,203,API log
5286751.0,ChatGPT,190,7,197,API log
5286751.0,ChatGPT,189,7,196,API log
5286752.0,ChatGPT,192,7,199,API log
5286752.0,ChatGPT,194,7,201,API log
5286753.0,ChatGPT,197,7,204,API log
5286754.0,ChatGPT,190,7,197,API log
5286754.0,ChatGPT,214,7,221,API log
5286755.0,ChatGPT,193,7,200,API log
5286755.0,ChatGPT,204,7,211,API log
5286756.0,ChatGPT,189,7,196,API log
5286756.0,ChatGPT,200,7,207,API log
5286757.0,ChatGPT,199,7,206,API log
5286757.0,ChatGPT,198,7,205,API log
5286758.0,ChatGPT,202,7,209,API log
5286758.0,ChatGPT,202,7,209,API log
5286760.0,ChatGPT,190,7,197,API log
5286760.0,ChatGPT,191,7,198,API log
5286760.0,ChatGPT,196,7,203,API log
5286761.0,ChatGPT,195,7,202,API log
5286762.0,ChatGPT,193,7,200,API log
5286762.0,ChatGPT,208,7,215,API log
5286762.0,ChatGPT,200,7,207,API log
5286763.0,ChatGPT,203,7,210,API log
5286764.0,ChatGPT,205,7,212,API log
5286764.0,ChatGPT,201,7,208,API log
5286764.0,ChatGPT,200,7,207,API log
5286765.0,ChatGPT,213,7,220,API log
5286766.0,ChatGPT,200,7,207,API log
5286768.0,ChatGPT,204,7,211,API log
5286769.0,ChatGPT,202,7,209,API log
5286769.0,ChatGPT,198,7,205,API log
5286770.0,ChatGPT,209,7,216,API log
5286770.0,ChatGPT,190,7,197,API log
5286771.0,ChatGPT,202,7,209,API log
5286772.0,ChatGPT,189,7,196,API log
5286772.0,ChatGPT,194,7,201,API log
5286772.0,ChatGPT,212,7,219,API log
5286774.0,ChatGPT,210,7,217,API log
5286775.0,ChatGPT,208,7,215,API log
5286775.0,ChatGPT,210,7,217,API log
5286775.0,ChatGPT,201,7,208,API log
5286776.0,ChatGPT,194,7,201,API log
5286776.0,ChatGPT,192,7,199,API log
5286777.0,ChatGPT,195,7,202,API log
5286777.0,ChatGPT,212,7,219,API log
5286778.0,ChatGPT,200,7,207,API log
5286778.0,ChatGPT,192,7,199,API log
5286779.0,ChatGPT,204,7,211,API log
5286780.0,ChatGPT,198,7,205,API log
5286780.0,ChatGPT,194,7,201,API log
5286781.0,ChatGPT,219,7,226,API log
5286781.0,ChatGPT,191,7,198,API log
5286782.0,ChatGPT,210,7,217,API log
5286782.0,ChatGPT,215,7,222,API log
5286783.0,ChatGPT,205,7,212,API log
5286784.0,ChatGPT,189,7,196,API log
5286784.0,ChatGPT,197,7,204,API log
5286785.0,ChatGPT,188,7,195,API log
5286785.0,ChatGPT,197,7,204,API log
5286786.0,ChatGPT,199,7,206,API log
5286787.0,ChatGPT,190,7,197,API log
5286787.0,ChatGPT,193,7,200,API log
5286787.0,ChatGPT,200,7,207,API log
5286788.0,ChatGPT,190,7,197,API log
5286788.0,ChatGPT,202,7,209,API log
5286790.0,ChatGPT,225,7,232,API log
5286791.0,ChatGPT,191,7,198,API log
5286792.0,ChatGPT,197,7,204,API log
5286793.0,ChatGPT,203,7,210,API log
5286793.0,ChatGPT,201,7,208,API log
5286794.0,ChatGPT,206,7,213,API log
5286795.0,ChatGPT,199,7,206,API log
5286796.0,ChatGPT,193,7,200,API log
5286796.0,ChatGPT,214,7,221,API log
5286797.0,ChatGPT,186,7,193,API log
5286798.0,ChatGPT,198,7,205,API log
5286799.0,ChatGPT,191,7,198,API log
5286799.0,ChatGPT,197,7,204,API log
5286799.0,ChatGPT,196,7,203,API log
5286800.0,ChatGPT,212,7,219,API log
5286800.0,ChatGPT,190,7,197,API log
5286801.0,ChatGPT,201,7,208,API log
5286801.0,ChatGPT,212,7,219,API log
5286802.0,ChatGPT,201,7,208,API log
5286802.0,ChatGPT,186,7,193,API log
5286803.0,ChatGPT,212,7,219,API log
5286803.0,ChatGPT,221,7,228,API log
5286804.0,ChatGPT,200,7,207,API log
5286804.0,ChatGPT,191,7,198,API log
5286805.0,ChatGPT,208,7,215,API log
5286807.0,ChatGPT,189,7,196,API log
5286807.0,ChatGPT,205,7,212,API log
5286808.0,ChatGPT,193,7,200,API log
5286808.0,ChatGPT,192,7,199,API log
5286809.0,ChatGPT,203,7,210,API log
5286809.0,ChatGPT,198,7,205,API log
5286810.0,ChatGPT,211,7,218,API log
5286811.0,ChatGPT,208,7,215,API log
5286811.0,ChatGPT,211,7,218,API log
5286812.0,ChatGPT,205,7,212,API log
5286812.0,ChatGPT,193,7,200,API log
5286813.0,ChatGPT,198,7,205,API log
5286814.0,ChatGPT,192,7,199,API log
5286814.0,ChatGPT,202,7,209,API log
5286815.0,ChatGPT,206,7,213,API log
5286815.0,ChatGPT,204,7,211,API log
5286816.0,ChatGPT,219,7,226,API log
5286817.0,ChatGPT,222,7,229,API log
5286817.0,ChatGPT,200,7,207,API log
5286819.0,ChatGPT,208,7,215,API log
5286820.0,ChatGPT,202,7,209,API log
5286821.0,ChatGPT,209,7,216,API log
5286821.0,ChatGPT,202,7,209,API log
5286822.0,ChatGPT,194,7,201,API log
5286823.0,ChatGPT,202,7,209,API log
5286823.0,ChatGPT,208,7,215,API log
5286824.0,ChatGPT,202,7,209,API log
5286824.0,ChatGPT,203,7,210,API log
5286825.0,ChatGPT,227,7,234,API log
5286825.0,ChatGPT,206,7,213,API log
5286826.0,ChatGPT,186,7,193,API log
5286826.0,ChatGPT,202,7,209,API log
5286827.0,ChatGPT,203,7,210,API log
5286827.0,ChatGPT,202,7,209,API log
5286828.0,ChatGPT,204,7,211,API log
5286829.0,ChatGPT,188,7,195,API log
5286829.0,ChatGPT,228,7,235,API log
5286830.0,ChatGPT,199,7,206,API log
5286831.0,ChatGPT,219,7,226,API log
5286831.0,ChatGPT,198,7,205,API log
5286832.0,ChatGPT,200,7,207,API log
5286833.0,ChatGPT,196,7,203,API log
5286833.0,ChatGPT,207,7,214,API log
5286834.0,ChatGPT,196,7,203,API log
5286835.0,ChatGPT,203,7,210,API log
5286835.0,ChatGPT,194,7,201,API log
5286836.0,ChatGPT,213,7,220,API log
5286836.0,ChatGPT,209,7,216,API log
5286838.0,ChatGPT,199,7,206,API log
5286838.0,ChatGPT,201,7,208,API log
5286839.0,ChatGPT,198,7,205,API log
5286839.0,ChatGPT,217,7,224,API log
5286840.0,ChatGPT,194,7,201,API log
5286840.0,ChatGPT,210,7,217,API log
5286841.0,ChatGPT,211,7,218,API log
5286841.0,ChatGPT,181,7,188,API log
5286842.0,ChatGPT,221,7,228,API log
5286842.0,ChatGPT,214,7,221,API log
5286843.0,ChatGPT,202,7,209,API log
5286844.0,ChatGPT,206,7,213,API log
5286845.0,ChatGPT,197,7,204,API log
5286845.0,ChatGPT,196,7,203,API log
5286846.0,ChatGPT,207,7,214,API log
5286847.0,ChatGPT,198,7,205,API log
5286847.0,ChatGPT,198,7,205,API log
5286848.0,ChatGPT,208,7,215,API log
5286848.0,ChatGPT,213,7,220,API log
5286849.0,ChatGPT,192,7,199,API log
5286850.0,ChatGPT,209,7,216,API log
5286853.0,ChatGPT,185,7,192,API log
5286855.0,ChatGPT,198,7,205,API log
5286857.0,ChatGPT,204,7,211,API log
5286858.0,ChatGPT,197,7,204,API log
5286860.0,ChatGPT,199,7,206,API log
5286861.0,ChatGPT,198,7,205,API log
5286862.0,ChatGPT,201,7,208,API log
5286865.0,ChatGPT,197,7,204,API log
5286866.0,ChatGPT,197,7,204,API log
5286867.0,ChatGPT,206,7,213,API log
5286868.0,ChatGPT,222,7,229,API log
5286869.0,ChatGPT,190,7,197,API log
5286869.0,ChatGPT,194,7,201,API log
5286871.0,ChatGPT,198,7,205,API log
5286871.0,ChatGPT,211,7,218,API log
5286872.0,ChatGPT,199,7,206,API log
5286873.0,ChatGPT,192,7,199,API log
5286873.0,ChatGPT,204,7,211,API log
5286874.0,ChatGPT,194,7,201,API log
5286874.0,ChatGPT,201,7,208,API log
5286875.0,ChatGPT,205,7,212,API log
5286877.0,ChatGPT,193,7,200,API log
5286879.0,ChatGPT,208,7,215,API log
5286879.0,ChatGPT,201,7,208,API log
5286884.0,ChatGPT,205,7,212,API log
5286887.0,ChatGPT,199,7,206,API log
5286888.0,ChatGPT,214,7,221,API log
5286889.0,ChatGPT,195,7,202,API log
5286890.0,ChatGPT,194,7,201,API log
5286891.0,ChatGPT,195,7,202,API log
5286891.0,ChatGPT,208,7,215,API log
5286892.0,ChatGPT,206,7,213,API log
5286893.0,ChatGPT,196,7,203,API log
5286893.0,ChatGPT,190,7,197,API log
5286894.0,ChatGPT,202,7,209,API log
5286894.0,ChatGPT,187,7,194,API log
5286895.0,ChatGPT,200,7,207,API log
5286895.0,ChatGPT,204,7,211,API log
5286896.0,ChatGPT,198,7,205,API log
5286897.0,ChatGPT,210,7,217,API log
5286898.0,ChatGPT,198,7,205,API log
5286898.0,ChatGPT,193,7,200,API log
5286899.0,ChatGPT,211,7,218,API log
5286899.0,ChatGPT,198,7,205,API log
5286900.0,ChatGPT,189,7,196,API log
5286900.0,ChatGPT,206,7,213,API log
5286901.0,ChatGPT,200,7,207,API log
5286901.0,ChatGPT,196,7,203,API log
5286902.0,ChatGPT,192,7,199,API log
5286902.0,ChatGPT,194,7,201,API log
5286903.0,ChatGPT,192,7,199,API log
5286903.0,ChatGPT,205,7,212,API log
5286904.0,ChatGPT,196,7,203,API log
5286904.0,ChatGPT,204,7,211,API log
5286905.0,ChatGPT,196,7,203,API log
5286905.0,ChatGPT,192,7,199,API log
5286906.0,ChatGPT,206,7,213,API log
5286906.0,ChatGPT,207,7,214,API log
5286907.0,ChatGPT,191,7,198,API log
5286907.0,ChatGPT,211,7,218,API log
5286908.0,ChatGPT,203,7,210,API log
5286908.0,ChatGPT,202,7,209,API log
5286909.0,ChatGPT,199,7,206,API log
5286910.0,ChatGPT,193,7,200,API log
5286910.0,ChatGPT,198,7,205,API log
5286911.0,ChatGPT,201,7,208,API log
5286912.0,ChatGPT,182,7,189,API log
5286913.0,ChatGPT,194,7,201,API log
5286913.0,ChatGPT,199,7,206,API log
5286914.0,ChatGPT,193,7,200,API log
5286914.0,ChatGPT,204,7,211,API log
5286915.0,ChatGPT,194,7,201,API log
5286916.0,ChatGPT,212,7,219,API log
5286916.0,ChatGPT,198,7,205,API log
5286917.0,ChatGPT,195,7,202,API log
5286917.0,ChatGPT,212,7,219,API log
5286918.0,ChatGPT,200,7,207,API log
5286918.0,ChatGPT,200,7,207,API log
5286919.0,ChatGPT,210,7,217,API log
5286920.0,ChatGPT,191,7,198,API log
5286920.0,ChatGPT,215,7,222,API log
5286921.0,ChatGPT,201,7,208,API log
5286921.0,ChatGPT,205,7,212,API log
5286922.0,ChatGPT,205,7,212,API log
5286923.0,ChatGPT,203,7,210,API log
5286924.0,ChatGPT,187,7,194,API log
5286924.0,ChatGPT,195,7,202,API log
5286927.0,ChatGPT,208,7,215,API log
5286927.0,ChatGPT,200,7,207,API log
5286928.0,ChatGPT,182,7,189,API log
5286928.0,ChatGPT,186,7,193,API log
5286929.0,ChatGPT,201,7,208,API log
5286929.0,ChatGPT,195,7,202,API log
5286929.0,ChatGPT,201,7,208,API log
5286930.0,ChatGPT,203,7,210,API log
5286930.0,ChatGPT,200,7,207,API log
5286931.0,ChatGPT,200,7,207,API log
5286931.0,ChatGPT,203,7,210,API log
5286931.0,ChatGPT,203,7,210,API log
5286932.0,ChatGPT,212,7,219,API log
5286932.0,ChatGPT,197,7,204,API log
5286932.0,ChatGPT,207,7,214,API log
5286932.0,ChatGPT,187,7,194,API log
5286933.0,ChatGPT,188,7,195,API log
5286933.0,ChatGPT,196,7,203,API log
5286934.0,ChatGPT,203,7,210,API log
5286934.0,ChatGPT,196,7,203,API log
5286934.0,ChatGPT,193,7,200,API log
5286934.0,ChatGPT,195,7,202,API log
5286935.0,ChatGPT,197,7,204,API log
5286935.0,ChatGPT,211,7,218,API log
5286936.0,ChatGPT,209,7,216,API log
5286936.0,ChatGPT,202,7,209,API log
5286936.0,ChatGPT,205,7,212,API log
5286936.0,ChatGPT,196,7,203,API log
5286937.0,ChatGPT,210,7,217,API log
5286937.0,ChatGPT,199,7,206,API log
5286937.0,ChatGPT,204,7,211,API log
5286937.0,ChatGPT,214,7,221,API log
5286938.0,ChatGPT,198,7,205,API log
5286938.0,ChatGPT,202,7,209,API log
5286938.0,ChatGPT,209,7,216,API log
5286938.0,ChatGPT,199,7,206,API log
5286938.0,ChatGPT,197,7,204,API log
5286939.0,ChatGPT,197,7,204,API log
5286939.0,ChatGPT,200,7,207,API log
5286939.0,ChatGPT,204,7,211,API log
5286939.0,ChatGPT,196,7,203,API log
5286939.0,ChatGPT,201,7,208,API log
5286940.0,ChatGPT,207,7,214,API log
5286940.0,ChatGPT,197,7,204,API log
5286940.0,ChatGPT,201,7,208,API log
5286940.0,ChatGPT,192,7,199,API log
5286941.0,ChatGPT,184,7,191,API log
5286941.0,ChatGPT,201,8,209,API log
5286941.0,ChatGPT,188,7,195,API log
5286941.0,ChatGPT,213,7,220,API log
5286942.0,ChatGPT,207,7,214,API log
5286942.0,ChatGPT,192,7,199,API log
5286942.0,ChatGPT,202,7,209,API log
5286942.0,ChatGPT,214,7,221,API log
5286943.0,ChatGPT,203,7,210,API log
5286943.0,ChatGPT,196,7,203,API log
5286943.0,ChatGPT,203,7,210,API log
5286943.0,ChatGPT,188,7,195,API log
5286944.0,ChatGPT,206,7,213,API log
5286944.0,ChatGPT,200,7,207,API log
5286945.0,ChatGPT,215,7,222,API log
5286945.0,ChatGPT,188,7,195,API log
5286945.0,ChatGPT,217,7,224,API log
5286945.0,ChatGPT,198,7,205,API log
5286946.0,ChatGPT,196,7,203,API log
5286946.0,ChatGPT,205,7,212,API log
5286946.0,ChatGPT,195,7,202,API log
5286946.0,ChatGPT,193,7,200,API log
5286947.0,ChatGPT,184,7,191,API log
5286947.0,ChatGPT,208,7,215,API log
5286947.0,ChatGPT,188,7,195,API log
5286948.0,ChatGPT,203,8,211,API log
5286948.0,ChatGPT,203,7,210,API log
5286949.0,ChatGPT,199,7,206,API log
5286949.0,ChatGPT,185,7,192,API log
5286949.0,ChatGPT,195,7,202,API log
5286950.0,ChatGPT,189,7,196,API log
5286950.0,ChatGPT,191,7,198,API log
5286950.0,ChatGPT,206,7,213,API log
5286950.0,ChatGPT,204,7,211,API log
5286951.0,ChatGPT,201,7,208,API log
5286951.0,ChatGPT,199,7,206,API log
5286952.0,ChatGPT,205,7,212,API log
5286952.0,ChatGPT,197,7,204,API log
5286952.0,ChatGPT,197,7,204,API log
5286952.0,ChatGPT,199,7,206,API log
5286955.0,ChatGPT,204,7,211,API log
5286955.0,ChatGPT,199,7,206,API log
5286955.0,ChatGPT,188,7,195,API log
5286955.0,ChatGPT,204,7,211,API log
5286956.0,ChatGPT,202,7,209,API log
5286956.0,ChatGPT,200,7,207,API log
5286957.0,ChatGPT,206,7,213,API log
5286957.0,ChatGPT,207,7,214,API log
5286958.0,ChatGPT,193,7,200,API log
5286958.0,ChatGPT,200,7,207,API log
